,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,@BBC,Sat May 23 16:01:00 +0000 2020,"#FindingDory = perfect weekend film!   🙌🐠

6.20pm | @BBCOne &amp; @BBCiPlayer.

👉 https://t.co/epX87pTvAr https://t.co/cshunjl5Kx",0.6114,0.174,0.826,0.0,1
1,@BBC,Sat May 23 15:01:00 +0000 2020,"We hope this brings you some much needed tranquility. 😌

This is the Mindful Mix with David Attenborough. 🍃

Listen… https://t.co/ls7qmnyu5U",0.8074,0.274,0.726,0.0,2
2,@BBC,Sat May 23 13:01:00 +0000 2020,"""If any good can come of me sharing my experience, I hope it's that it encourages more men to be vocal and not keep… https://t.co/lBx2oVxRNs",0.8885,0.354,0.646,0.0,3
3,@BBC,Sat May 23 12:47:16 +0000 2020,"RT @BBCTheOneShow: In support of #MentalHealthAwarenessWeek @professorgreen, @craigdavid, @jamesarthur23 and @snowpatrol's Gary Lightbody t…",0.4019,0.172,0.828,0.0,4
4,@BBC,Sat May 23 12:01:00 +0000 2020,"Israeli investors develop face mask with remote-controlled mouth hole.
https://t.co/NHFpQqUvk5",0.0,0.0,1.0,0.0,5
5,@BBC,Sat May 23 11:01:00 +0000 2020,"The Duke of Cambridge, Gareth Southgate and this team of football royalty kick off an important discussion on men’s… https://t.co/DdvZ0TKH9m",0.2023,0.087,0.913,0.0,6
6,@BBC,Sat May 23 09:28:00 +0000 2020,"Who haven't we heard from yet on Coronavirus? Oh right, Philomena Cunk! 

@charltonbrooker's #AntiviralWipe is stre… https://t.co/lJunb7Wo54",0.0,0.0,1.0,0.0,7
7,@BBC,Fri May 22 19:01:00 +0000 2020,"Tonight chatting to #GrahamNorton...

✨ @katyperry!
✨@SteveCarell!
✨Dakota Johnson!
✨Alan Carr (@chattyman)!
✨Music… https://t.co/3oKYbSxZeE",0.5374,0.211,0.789,0.0,8
8,@BBC,Fri May 22 19:01:00 +0000 2020,"Piglet rescue! 😭❤️

Roaming In The Wild is streaming now on @bbciplayer.

Via @bbcthesocial.

https://t.co/CTXCTkeqBX",0.126,0.152,0.718,0.131,9
9,@BBC,Fri May 22 16:01:00 +0000 2020,"Here is @matthaig1's simple piece of advice for better #MentalHealth.

What's your simple tip?
https://t.co/toSiVTl3bX",0.4404,0.172,0.828,0.0,10
10,@BBC,Fri May 22 15:58:20 +0000 2020,"RT @bbcouch: Ouch favourites @MarkOneinFour and @ms_molly_vog bare all in this mental health special of #OuchCabinFever

When the world wen…",0.4019,0.124,0.876,0.0,11
11,@BBC,Fri May 22 15:27:49 +0000 2020,"RT @BBCR1: Here's how the #BigWeekend Headliner and Radio 1 stages are looking for Saturday 23rd and Sunday 24th May! 😍

Check out set-time…",0.5093,0.112,0.888,0.0,12
12,@BBC,Fri May 22 14:04:03 +0000 2020,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,0.0,0.0,1.0,0.0,13
13,@BBC,Fri May 22 14:01:00 +0000 2020,"If you're finding lockdown tough because you live alone, Tobi Green Adenowo (@ToughCookieTee) has some tips to make… https://t.co/zJD44nbNov",-0.3612,0.0,0.829,0.171,14
14,@BBC,Fri May 22 13:28:25 +0000 2020,"RT @bbcworldservice: Dressing up for Eid needn’t be stopped by lockdown – here are @theswolearab, Fatima and Hira with their style tips htt…",-0.2263,0.0,0.921,0.079,15
15,@BBC,Fri May 22 12:51:33 +0000 2020,"RT @HackerTDog: GET THE #FridayFeeling BY WATCHING ME MAKE LOADS OF CELEBRITIES LOL OUT LOUD. WATCH MY NEW FILM HERE:
https://t.co/Bq7cRYke…",0.5473,0.15,0.85,0.0,16
16,@BBC,Fri May 22 12:25:44 +0000 2020,"RT @bbcpress: New comedy series #Staged, starring #DavidTennant and @MichaelSheen, is coming to @BBCOne in June. Here's a little taster of…",0.3612,0.111,0.889,0.0,17
17,@BBC,Fri May 22 11:01:00 +0000 2020,"With fashion weeks going digital because of Covid-19, 3D artists are being hired to create virtual clothes, and eve… https://t.co/qIXRy0tUI7",0.2732,0.1,0.9,0.0,18
18,@BBC,Fri May 22 09:26:23 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,19
19,@BBC,Fri May 22 09:17:44 +0000 2020,More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,0.0,0.0,1.0,0.0,20
20,@BBC,Fri May 22 09:11:53 +0000 2020,Find out more about the BBC's focus on mental health this May: https://t.co/9Z8jrQrIck,0.0,0.0,1.0,0.0,21
21,@BBC,Fri May 22 08:45:56 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,22
22,@BBC,Fri May 22 08:11:47 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/LYeKPCdUPk",0.4019,0.153,0.847,0.0,23
23,@BBC,Fri May 22 08:01:00 +0000 2020,"‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.… https://t.co/aXLOTxZxgg",0.34,0.203,0.691,0.106,24
24,@BBC,Fri May 22 00:01:00 +0000 2020,"Three very powerful and personal stories about #MentalHealth - all streaming now on @bbciplayer.

Nadiya: Anxiety a… https://t.co/l5Fdpb6PuJ",0.3384,0.149,0.769,0.082,25
25,@BBC,Thu May 21 20:30:00 +0000 2020,".@JasonManford gives us his words of wisdom on mental health during lockdown, and the power of laughter ❤️ https://t.co/Imno3mD6kx",0.765,0.268,0.732,0.0,26
26,@BBC,Thu May 21 19:02:17 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,27
27,@BBC,Thu May 21 19:01:00 +0000 2020,This scene where Marianne and Connell finally address their class difference and how it's affected their relationsh… https://t.co/SwYPjla1Ji,-0.1531,0.0,0.914,0.086,28
28,@BBC,Thu May 21 18:01:00 +0000 2020,"Comedian @ItsTonySlattery meets experts to explore his psychological problems, finding out if he is definitely bipo… https://t.co/7614I03Iol",0.3818,0.241,0.636,0.123,29
29,@BBC,Thu May 21 16:20:13 +0000 2020,"To mark International Diversity Day, the BBC Director-General Tony Hall and UN Deputy Secretary-General Amina J Moh… https://t.co/qe9YYNQYSC",0.0,0.0,1.0,0.0,30
30,@BBC,Thu May 21 16:01:00 +0000 2020,"Another #ThisCountry deleted scene from @bbcthree: more of Mandy's stories.  🙌📚
https://t.co/s7D6Sc4Jpt",0.0,0.0,1.0,0.0,31
31,@BBC,Thu May 21 15:41:52 +0000 2020,RT @HackerTDog: YOU ARE ALL INVITED TO PLAY MY QUIZ AT 7.30PM LIVE TONIGHT ON MY YOUTUBE CHANNEL! GO AND SUBSCRIBE TO ME https://t.co/kFDPk…,0.5307,0.13,0.87,0.0,32
32,@BBC,Thu May 21 14:07:13 +0000 2020,⁣More information about the range of programming about mental health across the BBC can be found here https://t.co/U3LM36WRcU,0.0,0.0,1.0,0.0,33
33,@BBC,Thu May 21 14:06:45 +0000 2020,"Social media can be helpful and informative during lockdown - but it can also be overwhelming.

@naomishimada
 has… https://t.co/oCS7c3T4lp",0.2263,0.095,0.905,0.0,34
34,@BBC,Thu May 21 12:29:13 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,35
35,@BBC,Thu May 21 12:29:01 +0000 2020,Nadiya: Anxiety and Me is streaming now on @BBCiPlayer. https://t.co/cizeDDzBYx,-0.1779,0.0,0.841,0.159,36
36,@BBC,Thu May 21 12:01:00 +0000 2020,"Nadiya Hussain explains how severe anxiety affects her life.
 
@BegumNadiya #MentalHealth
https://t.co/BTZnT3dEQY",-0.5106,0.0,0.699,0.301,37
37,@BBC,Thu May 21 11:14:48 +0000 2020,RT @bbcpress: The BBC’s Director of Creative Diversity @JuneSarpong has committed to hardwire diversity and inclusion throughout the BBC -…,0.6124,0.217,0.783,0.0,38
38,@BBC,Thu May 21 10:42:34 +0000 2020,"RT @BBCSport: 💪 Want to get fit and need some structure to help you? 🗓

📲 #Couchto5K is the app for you ➡ https://t.co/z3IGRWqgYv https://t…",0.6705,0.188,0.812,0.0,39
39,@BBC,Thu May 21 10:41:59 +0000 2020,"RT @cbbc: It's #MentalHealthAwarenessWeek2020 and there is no better time to be kind to yourself and others 🥰 #BeKind #BBCOwnIt 
@JoeTasker…",0.6116,0.208,0.714,0.078,40
40,@BBC,Thu May 21 09:08:20 +0000 2020,"RT @BBC6Music: As premiered by @ChrisHawkinsuk...

Composer and producer @ErlandCooper explains how he used 6 Music listeners' sounds of ch…",0.0,0.0,1.0,0.0,41
41,@BBC,Thu May 21 08:01:00 +0000 2020,Love this!  😍 8-year-old @KatyPerry fan Charlotte gets the surprise of her life when her substitute teacher is... A… https://t.co/a3iB06Ubts,0.8977,0.385,0.615,0.0,42
42,@BBC,Thu May 21 05:57:24 +0000 2020,"What’s your mental health tip?

🧠 Mental health campaigner @matthaig1 joins @ChrisHawkinsUK this morning to kick of… https://t.co/sxITXwI65a",0.0,0.0,1.0,0.0,43
43,@BBC,Wed May 20 18:53:15 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,44
44,@BBC,Wed May 20 18:01:00 +0000 2020,.@DavidHarewood revisits a psychotic episode which saw him restrained by six police officers and sedated by hospita… https://t.co/BTx6ZDUy95,0.0,0.0,1.0,0.0,45
45,@BBC,Wed May 20 16:01:00 +0000 2020,"As our lives get more complicated, simple things become more precious. 💙 

@BelugaLagoon #MentalHealth
https://t.co/GePHVoevCo",0.6115,0.21,0.79,0.0,46
46,@BBC,Wed May 20 14:01:51 +0000 2020,More information about the range of programming about mental health across the BBC: https://t.co/9Z8jrQrIck,0.0,0.0,1.0,0.0,47
47,@BBC,Wed May 20 14:01:00 +0000 2020,"Whether you’ve been together for 8 weeks or 8 years, every relationship's under pressure in lockdown.

Relationship… https://t.co/s0Li4RyHQC",-0.296,0.0,0.885,0.115,48
48,@BBC,Wed May 20 13:07:13 +0000 2020,"RT @bbcthree: Roses are red, #ThisCountry is great
We liked this joke so much we made eight https://t.co/MAldf6mtRP",0.8555,0.385,0.615,0.0,49
49,@BBC,Wed May 20 12:01:00 +0000 2020,"These scientists are working hard to develop a safe vaccine for COVID-19.

Coronavirus: A #Horizon Special - Part 2… https://t.co/KuHyZAO8lN",0.6369,0.233,0.708,0.058,50
50,@BBC,Wed May 20 10:15:46 +0000 2020,"RT @bbcpress: Want to watch and listen to your favourite BBC programmes with your friends and family? @BBCRD have created #BBCTogether, all…",0.6597,0.252,0.748,0.0,51
51,@BBC,Wed May 20 09:11:49 +0000 2020,"Congratulations to @captaintommoore, who will soon be #SirCaptainTom!

It's been announced that he is to be knighte… https://t.co/6xdhv4jtUs",0.636,0.198,0.802,0.0,52
52,@BBC,Wed May 20 08:51:42 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,53
53,@BBC,Wed May 20 08:01:00 +0000 2020,"Why do some people get depressed?

The jam jar analogy is a helpful way of understanding why some people suffer fro… https://t.co/75Q9czfKIA",-0.6124,0.098,0.664,0.238,54
54,@BBC,Wed May 20 07:43:00 +0000 2020,"Which record always soothes you?

@bbc6music asked some of their favourite acts this very question. Listen to Handp… https://t.co/APmZCDe2Zh",0.0,0.0,1.0,0.0,55
55,@BBC,Tue May 19 19:01:00 +0000 2020,"In Part 2 of the #Horizon Coronavirus Specials, @DoctorChrisVT, @FryRsquared and Dr Michael Mosley examine the late… https://t.co/wdBx30pEPb",0.0,0.0,1.0,0.0,56
56,@BBC,Tue May 19 17:01:00 +0000 2020,"This is what kids in 1986 thought the year 2020 would be like... accurate?  🤔
https://t.co/bFIdDYdqxS",0.3612,0.135,0.865,0.0,57
57,@BBC,Tue May 19 16:23:53 +0000 2020,"RT @BBC6Music: Which record always soothes you?

We asked a few of our favourite acts this very question. Listen to Handpicked, The Morning…",0.0,0.0,1.0,0.0,58
58,@BBC,Tue May 19 16:02:38 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,59
59,@BBC,Tue May 19 16:01:00 +0000 2020,"""The reason we're here is that we've both come close to killing ourselves"". 

@ChrisGPackham met Joe Harkness to ta… https://t.co/x9M7WHZORr",-0.6597,0.0,0.812,0.188,60
60,@BBC,Tue May 19 14:08:41 +0000 2020,".@MicahRichards talks about why speaking about your feelings is a strength, not a weakness. 

@OpenUniversity… https://t.co/rdqd4H0tsL",0.6738,0.283,0.717,0.0,61
61,@BBC,Tue May 19 13:08:22 +0000 2020,RT @bbcpress: This Thursday join the BBC and @UN for the #CreativeDiversity Dialogue to mark #InternationalDiversityDay on @LinkedIn Live w…,0.296,0.104,0.896,0.0,62
62,@BBC,Tue May 19 11:16:29 +0000 2020,"RT @bbcpress: #TheNest is the biggest new BBC drama of the year so far, averaging 9m viewers. See what you're missing on @BBCiPlayer: https…",-0.296,0.0,0.913,0.087,63
63,@BBC,Tue May 19 11:01:00 +0000 2020,"No primates have gone extinct in the last 100 years... but that could change.

#Primates is streaming now on… https://t.co/pHilRWb7Jn",-0.1531,0.0,0.922,0.078,64
64,@BBC,Tue May 19 08:28:41 +0000 2020,"RT @bbcbitesize: This week is #MentalHealthAwarenessWeek and the theme this year is #kindness👫💛

Now more than ever, being kind to our frie…",0.7506,0.192,0.808,0.0,65
65,@BBC,Tue May 19 08:27:35 +0000 2020,"RT @bbcbitesize: Morning team ⛅️

📺 Today's subjects for #BBCBitesizeDaily from 9am on BBCiPlayer and Red Button 👉 https://t.co/zZOO8l1o53…",0.0,0.0,1.0,0.0,66
66,@BBC,Tue May 19 08:27:13 +0000 2020,"RT @BBCWomansHour: Kindness and #MentalHealthAwarenessWeek 🎧 ▶ Lucy Thorpe, Head of Policy @mentalhealth on changing society for the better…",0.6597,0.231,0.769,0.0,67
67,@BBC,Tue May 19 08:01:00 +0000 2020,"""The person that I'm bringing in today lives with anxiety.""

How a teacher surprised his class by opening up about… https://t.co/Sq8N63Sivx",0.0516,0.084,0.841,0.075,68
68,@BBC,Mon May 18 17:03:27 +0000 2020,"For details of organisations which offer advice and support with mental health, go online to https://t.co/rWDj404Gvz",0.4019,0.153,0.847,0.0,69
69,@BBC,Mon May 18 17:02:37 +0000 2020,"Mental health issues can affect any one of us.

For a range of programmes to help start your conversation go to… https://t.co/KkuxY6eRoU",0.4019,0.114,0.886,0.0,70
70,@BBC,Mon May 18 14:01:00 +0000 2020,What is toxic productivity? @Dr_Julie_Smith is here to give you the lowdown on this lockdown phenomenon.… https://t.co/OBIbe4btQf,-0.2023,0.0,0.899,0.101,71
71,@BBC,Mon May 18 13:27:29 +0000 2020,"Cereal bar massage technician = new dream job! 🥣

#InsideTheFactory

https://t.co/55Gp0EDlvW",0.3164,0.16,0.84,0.0,72
72,@BBC,Mon May 18 13:00:01 +0000 2020,"Ian Fletcher, BBC Head of Values (@hughbon), with support from the @BBCCO, gives a one-off address from his lockdow… https://t.co/eRhyFpj6va",0.6597,0.231,0.769,0.0,73
73,@BBC,Mon May 18 12:01:00 +0000 2020,#MentalHealth conditions often have invisible symptoms. Can VR help people express what's going on inside their hea… https://t.co/dGFA6mDOSL,0.4019,0.137,0.863,0.0,74
74,@BBC,Mon May 18 12:00:56 +0000 2020,@ITV @Channel4 @bbcthree @skytv @channel5_tv @davechannel @ComedyCentralUK @MTVUK @UKTV Sending virtual hugs 🤗 https://t.co/WaxCsGhWTq,0.7184,0.316,0.684,0.0,75
75,@BBC,Mon May 18 10:07:39 +0000 2020,"“You are not alone.”

Radio stations across the UK have joined together for the #MentalHealthMinute - featuring The… https://t.co/QiYPiThw1n",0.0,0.0,1.0,0.0,76
76,@BBC,Mon May 18 08:01:00 +0000 2020,"❤️ @mescal_paul: ""Say that you love them, listen and be joyous in their company."" 

If you're Obsessed with… https://t.co/hhXUANbVbr",0.8225,0.307,0.63,0.063,77
77,@BBC,Mon May 18 07:58:28 +0000 2020,"RT @bbcbitesize: Tomorrow is the start of #MentalHealthAwarenessWeek 2020 and this year it's all about #Kindness 🧡

Here is your 7 day chal…",0.4588,0.115,0.885,0.0,78
78,@BBC,Mon May 18 07:53:59 +0000 2020,"Want to get fit during lockdown? #CouchTo5K could be for you.

🏃‍♀️The app will get you running 5K in nine weeks (e… https://t.co/TH3etAf4fy",0.4215,0.137,0.863,0.0,79
79,@BBC,Mon May 18 07:01:10 +0000 2020,"RT @bbcarts: Thank you for coming to #WoWxBBC and for your enthusiasm. We hope you leave the virtual festival inquisitive, inspired and gal…",0.9349,0.488,0.476,0.036,80
80,@BBC,Sun May 17 18:59:07 +0000 2020,If you want to keep the #Eurovision fun going - you need to watch The A-Z of Eurovision with @rylan on @bbciplayer!… https://t.co/Jk5u0826M5,0.5983,0.189,0.811,0.0,81
81,@BBC,Sun May 17 13:01:00 +0000 2020,"Every #Eurovision winner of the past 25 years! Which is your favourite..? 🤔✨

#Eurovision2020 

https://t.co/u2eeQL8UCx",0.75,0.299,0.701,0.0,82
82,@BBC,Sun May 17 13:01:00 +0000 2020,"""The chain will always be more popular than I am."" 😂

@bbcthree's #NormalPeople star @mescal_paul tells @BBCR1 abou… https://t.co/RYBiXdpfX2",0.7178,0.239,0.695,0.066,83
83,@BBC,Sun May 17 10:01:00 +0000 2020,"There's lots more deleted #ThisCountry scene on their way from @bbcthree... 

Here's one: Kurtan shows Kerry and th… https://t.co/Bw8swPdAIr",0.0,0.0,1.0,0.0,84
84,@BBC,Sat May 16 18:01:00 +0000 2020,#Eurovision: Europe Shine a Light celebrates all 41 songs that would have competed in the #Eurovision2020 contest.… https://t.co/7MwKNGco95,0.5719,0.179,0.821,0.0,85
85,@BBC,Sat May 16 16:01:00 +0000 2020,#Eurovision2020 may not be going ahead as planned tonight - but @grahnort will give viewers the chance to vote for… https://t.co/sHsYMyLJ2h,0.3612,0.111,0.889,0.0,86
86,@BBC,Sat May 16 14:00:01 +0000 2020,Join HRH The Duke of Cambridge as he aims to break the stigma around men's mental health.… https://t.co/HrlPnCxv1b,0.296,0.115,0.885,0.0,87
87,@BBC,Sat May 16 11:01:00 +0000 2020,"What’s the point of noses? 👃
https://t.co/OpTlYow0AA",0.0,0.0,1.0,0.0,88
88,@BBC,Sat May 16 10:01:00 +0000 2020,"How well do you know your 90s #Eurovision trivia? Take the quiz from @bbcradio2!  🕺🎶

👉 https://t.co/ennQoFUY6z https://t.co/1snG9TaY0a",0.3382,0.094,0.906,0.0,89
89,@BBC,Sat May 16 07:39:10 +0000 2020,RT @bbcarts: Enjoy a Saturday morning stretch and ease into the #WOWxBBC Festival with basketball player and spoken word poet @AsmaElbadawi…,0.836,0.331,0.669,0.0,90
90,@BBC,Sat May 16 07:39:07 +0000 2020,"RT @bbceurovision: REST OF WORLD: SATURDAY

EUROPE AND AUSTRALIA: https://t.co/Tgz3Dku91B",0.0,0.0,1.0,0.0,91
91,@BBC,Sat May 16 07:26:19 +0000 2020,"It's the #WOWxBBC Festival this weekend. And the line-up is incredible. 

Today @JuliaGillard on leadership,… https://t.co/3PbWr0qnBF",0.4939,0.176,0.824,0.0,92
92,@BBC,Fri May 15 19:01:00 +0000 2020,"It's another all-star lineup on @grahnort's sofa tonight!

✨Will Ferrell
✨@mermhart
✨@MarkRuffalo
✨@mescal_paul
✨… https://t.co/4oCgTIUbHd",0.0,0.0,1.0,0.0,93
93,@BBC,Fri May 15 18:01:00 +0000 2020,"Brand new #LaterJools starts tonight!  🙌

Jools chats to @QueensChristine from her base in Paris, and singer-songwr… https://t.co/HYGCzBJheJ",0.0,0.0,1.0,0.0,94
94,@BBC,Fri May 15 17:26:23 +0000 2020,"RT @BBCLater: ""If I'm brutally honest with you, this is my favourite performance ever done on TV by any artist...""

High praise from @Queen…",0.4404,0.216,0.658,0.125,95
95,@BBC,Fri May 15 17:24:43 +0000 2020,#HealthCheckUKLive is streaming now on @bbciplayer.    https://t.co/f7VedVNpQK,0.0,0.0,1.0,0.0,96
96,@BBC,Fri May 15 17:24:03 +0000 2020,"With gyms closed, and heavy items like dumbbells difficult to get delivered - @russell_kane has a great tip for kee… https://t.co/0xy6teCxa4",0.5994,0.242,0.623,0.136,97
97,@BBC,Fri May 15 14:56:41 +0000 2020,RT @BBCTheOneShow: .@normalpeoplebbc's @daisyedgarjones and @mescal_paul will be on the show on Monday and we want to ask them your Normal…,0.0772,0.061,0.939,0.0,98
98,@BBC,Fri May 15 14:07:12 +0000 2020,"RT @HackerTDog: Do you miss Iain and Hacker? Well, we were reunited for one night only cockers. See the whole shambolic film here:
https://…",0.128,0.082,0.856,0.062,99
99,@BBC,Fri May 15 11:01:00 +0000 2020,"It may seem simple, but there are important things to remember about safely putting on and taking off a face coveri… https://t.co/F4oYPNBA15",0.7579,0.245,0.755,0.0,100
100,@CBS,Sat May 23 22:55:00 +0000 2020,We can't watch Titanic on #CBSMovieNight until tomorrow at 7/6c on CBS but our heart will go on listening to… https://t.co/CyJZGhcyV8,0.0,0.0,1.0,0.0,1
101,@CBS,Sat May 23 16:02:00 +0000 2020,CBS Sunday Night Movies is presenting Titanic and we feel like the king of the world. The fun starts TOMORROW at 7/… https://t.co/4J6faCXCwc,0.7003,0.216,0.784,0.0,2
102,@CBS,Sat May 23 14:52:09 +0000 2020,"RT @CBSSunday: This week #SundayMorning was nominated for ""Outstanding Morning Show"" for the 47th Daytime Emmy Awards

Congratulations to o…",0.8979,0.391,0.609,0.0,3
103,@CBS,Sat May 23 00:13:01 +0000 2020,"RT @CBSEveningNews: ON THE ROAD: Since Memorial Day parades and gatherings are cancelled, @SteveHartmanCBS has a patriotic request: he’s ca…",-0.25,0.0,0.905,0.095,4
104,@CBS,Fri May 22 23:00:00 +0000 2020,Set sail with a classic this holiday weekend when #CBSMovieNight airs Titanic this Sunday at 7pm/6c on CBS and… https://t.co/IdwJTHWHSJ,0.481,0.141,0.859,0.0,5
105,@CBS,Fri May 22 22:14:52 +0000 2020,Don't miss @EBraeden and more in #CBSMovieNight's presentation of Titanic this Sunday at 7/6c on CBS. https://t.co/sIpf7M2WnR,0.1139,0.083,0.917,0.0,6
106,@CBS,Fri May 22 22:06:06 +0000 2020,"In one week, you can turn DIY hairDON’Ts into hairDO’s with Haircut Night in America hosted by @RebeccaRomijn and… https://t.co/E48fmRaQl4",0.0,0.0,1.0,0.0,7
107,@CBS,Fri May 22 21:29:51 +0000 2020,"Let’s see your lip sync skills in action. Your favorite moments from #CBSMovieNight, like this Sunday's Titanic, ar… https://t.co/LCtejpU0Tv",0.6705,0.244,0.756,0.0,8
108,@CBS,Fri May 22 21:13:27 +0000 2020,"RT @CBSAllAccess: Weekend plans are set:
✅ Dive into an action-packed @SWATCBS
✅ Catch up with @TheGoodFight's Christine Baranski on the @c…",0.0,0.0,1.0,0.0,9
109,@CBS,Fri May 22 20:24:19 +0000 2020,"Can Javier demonstrate his soccer skills? Well, if you insist. @Broke https://t.co/irknCnCdWw",-0.1779,0.141,0.671,0.188,10
110,@CBS,Fri May 22 19:36:10 +0000 2020,RT @johnkrasinski: Wow who can believe when we started this thing together we all just wanted good news to be more fully represented in our…,0.7717,0.226,0.774,0.0,11
111,@CBS,Fri May 22 19:35:55 +0000 2020,"RT @CBSNews: ""On @johnkrasinski’s very first episode of @somegoodnews, he asked why has there never been a news show dedicated entirely to…",0.4588,0.125,0.875,0.0,12
112,@CBS,Fri May 22 18:43:48 +0000 2020,RT @ALOTO: 🇺🇸 The brand new series of Game On! premieres on @CBS in the US on 27th May. The series is based on A League of their Own and is…,0.0,0.0,1.0,0.0,13
113,@CBS,Fri May 22 17:46:46 +0000 2020,RT @ViacomCBS: This week’s @CBS Sunday Movie Night feature is @TitanicMovie. How is this @TheAcademy winner connected to another @Paramount…,0.5859,0.167,0.833,0.0,14
114,@CBS,Fri May 22 17:31:01 +0000 2020,"Watch the @gameon premiere Wednesday, May 27 at 8/7c on CBS and @CBSAllAccess. https://t.co/rp86h4uq4P",0.0,0.0,1.0,0.0,15
115,@CBS,Fri May 22 17:19:46 +0000 2020,"RT @TheTalkCBS: .@CBS continues CBS Sunday night at the movies with the beloved film “Titanic,” which debuted in theaters two decades ago b…",0.5106,0.13,0.87,0.0,16
116,@CBS,Fri May 22 00:34:02 +0000 2020,"RT @MATTHEWHOFFMAN1: Tonight would have been the launch of @loveislandusa Season 2. I cannot wait to return to that padded, windowless room…",0.0,0.0,1.0,0.0,17
117,@CBS,Thu May 21 23:34:19 +0000 2020,"RT @CBSInnovationTV: 🎉 #InnovationNation is nominated for THREE @DaytimeEmmys!

We can't contain our excitement &amp; want to send a huge THANK…",0.4523,0.242,0.661,0.097,18
118,@CBS,Thu May 21 23:33:17 +0000 2020,"RT @latelateshow: On tonight's show, @RobGronkowski reveals the phone call with @tombrady that convinced him to return to the NFL 👀

Plus @…",0.4019,0.109,0.891,0.0,19
119,@CBS,Thu May 21 23:27:28 +0000 2020,RT @RealRonHoward: If you haven’t watched @68Whiskey yet - this should be your next series binge! @CBSAllAccess https://t.co/lB6TPbZr5W,0.0,0.0,1.0,0.0,20
120,@CBS,Thu May 21 22:03:25 +0000 2020,RT @broke: And we're LIVE! Join us on the @CBS Facebook right now for #JaimesHappyHour with @JaimeCamil and @IanKarmel from @latelateshow a…,-0.2244,0.087,0.791,0.122,21
